Tid,Avstand,X,Y,Z,Error,Power,uP,uI,uD
1,314,10,4,1016,-14,0,0,0,0
2,314,11,4,1015,-14,0,0,0,0
3,313,12,4,1015,-13,0,0,0,0
4,309,12,4,1016,-9,18220,47536,65316,0
5,311,12,-30,1016,-11,22420,43536,65116,0
6,310,24,-96,842,-10,20630,45536,64906,0
7,311,5,-197,788,-11,22840,43536,64696,0
8,310,22,-174,825,-10,21050,45536,64486,0
9,310,23,-164,854,-10,21250,45536,64286,0
10,311,37,-142,910,-11,23460,43536,64076,0
11,311,31,-109,976,-11,23680,43536,63856,0
12,310,18,-99,1002,-10,21890,45536,63646,0
13,310,-2,-82,995,-10,22090,45536,63446,0
14,310,-1,-59,994,-10,22290,45536,63246,0
15,312,-5,-37,981,-12,26510,41536,63026,0
16,315,-12,-33,971,-15,32780,35536,62756,0
17,314,-16,-54,962,-14,31070,37536,62466,0
18,314,-26,-73,944,-14,31350,37536,62186,0
19,312,-34,-54,924,-12,27610,41536,61926,0
20,305,-31,-35,916,-5,13780,55536,61756,0
21,307,-22,-6,934,-7,17900,51536,61636,0
22,307,-22,54,929,-7,18040,51536,61496,0
23,306,-18,76,929,-6,16170,53536,61366,0
24,303,-17,49,932,-3,0,0,0,0
25,305,-15,49,927,-5,10080,55536,65456,0
26,304,-10,76,748,-4,0,0,0,0
27,302,-11,38,730,-2,0,0,0,0
28,296,-3,81,770,4,0,0,0,0
29,298,-3,72,824,2,0,0,0,0
30,297,2,53,878,3,0,0,0,0
31,296,10,49,922,4,0,0,0,0
32,293,12,38,952,7,14110,14000,110,0
33,295,23,-120,973,5,10230,10000,230,0
34,293,23,-145,936,7,14350,14000,350,0
35,296,30,-119,895,4,0,0,0,0
36,298,28,-224,901,2,0,0,0,0
37,297,37,-210,926,3,0,0,0,0
38,297,38,-192,942,3,0,0,0,0
39,298,33,-141,955,2,0,0,0,0
40,297,27,-109,962,3,0,0,0,0
41,297,23,-87,994,3,0,0,0,0
42,301,23,-67,1014,-1,0,0,0,0
43,298,21,-51,1027,2,0,0,0,0
44,297,19,-38,1029,3,0,0,0,0
45,299,18,-27,1025,1,0,0,0,0
46,297,18,-18,1021,3,0,0,0,0
47,298,17,-11,1019,2,0,0,0,0
48,296,17,-5,1017,4,0,0,0,0
49,297,17,-1,1017,3,0,0,0,0
50,297,16,0,1017,3,0,0,0,0
51,298,15,1,1018,2,0,0,0,0
52,297,14,1,1019,3,0,0,0,0
53,297,14,1,1019,3,0,0,0,0
54,297,14,2,1019,3,0,0,0,0
55,297,14,4,1017,3,0,0,0,0
56,297,14,5,1016,3,0,0,0,0
57,297,14,6,1015,3,0,0,0,0
58,297,14,6,1015,3,0,0,0,0
59,298,14,6,1016,2,0,0,0,0
60,296,13,5,1017,4,0,0,0,0
61,297,12,5,1017,3,0,0,0,0
62,301,12,5,1017,-1,0,0,0,0
63,298,13,5,1017,2,0,0,0,0
64,297,13,4,1016,3,0,0,0,0
65,297,13,4,1015,3,0,0,0,0
66,297,13,4,1015,3,0,0,0,0
67,298,13,5,1015,2,0,0,0,0
68,297,14,5,1014,3,0,0,0,0
69,297,14,6,1014,3,0,0,0,0
70,297,14,6,1014,3,0,0,0,0
71,298,14,6,1015,2,0,0,0,0
72,297,14,6,1016,3,0,0,0,0
73,297,13,7,1016,3,0,0,0,0
74,297,13,7,1016,3,0,0,0,0
75,297,13,7,1016,3,0,0,0,0
76,297,13,7,1017,3,0,0,0,0
77,298,13,6,1016,2,0,0,0,0
78,297,13,5,1016,3,0,0,0,0
79,298,12,5,1015,2,0,0,0,0
80,297,12,6,1015,3,0,0,0,0
81,297,12,7,1016,3,0,0,0,0
82,297,12,7,1016,3,0,0,0,0
83,297,12,7,1017,3,0,0,0,0
84,296,12,7,1017,4,0,0,0,0
85,297,9,7,1016,3,0,0,0,0
86,298,10,7,1016,2,0,0,0,0
87,296,10,7,1017,4,0,0,0,0
88,294,12,7,1017,6,12100,12000,100,0
89,294,23,-49,905,6,12220,12000,220,0
90,295,34,-9,824,5,10330,10000,330,0
91,295,35,-29,783,5,10430,10000,430,0
92,295,28,-44,771,5,10530,10000,530,0
93,295,29,-29,787,5,10630,10000,630,0
94,295,35,-18,819,5,10730,10000,730,0
95,298,36,-16,860,2,0,0,0,0
96,298,34,-102,881,2,0,0,0,0
97,299,55,-114,949,1,0,0,0,0
98,299,73,-65,1052,1,0,0,0,0
99,299,71,-46,1063,1,0,0,0,0
100,298,57,-36,1057,2,0,0,0,0
101,299,48,-34,1051,1,0,0,0,0
102,299,48,-22,1045,1,0,0,0,0
103,299,45,-9,1037,1,0,0,0,0
104,298,39,-3,1029,2,0,0,0,0
105,299,34,0,1023,1,0,0,0,0
106,299,30,1,1020,1,0,0,0,0
107,302,25,1,1018,-2,0,0,0,0
108,301,20,1,1019,-1,0,0,0,0
109,302,18,1,1018,-2,0,0,0,0
110,302,17,2,1018,-2,0,0,0,0
111,305,16,3,1015,-5,10070,55536,65466,0
112,304,19,-68,974,-4,0,0,0,0
113,305,17,-73,866,-5,10090,55536,65446,0
114,304,18,-169,821,-4,0,0,0,0
115,305,-8,-162,670,-5,10090,55536,65446,0
116,305,2,-232,569,-5,10190,55536,65346,0
117,304,-33,-287,466,-4,0,0,0,0
118,304,-55,-253,436,-4,0,0,0,0
119,301,-41,-135,426,-1,0,0,0,0
120,301,-47,-45,513,-1,0,0,0,0
121,301,-29,-15,623,-1,0,0,0,0
122,301,-10,-3,726,-1,0,0,0,0
123,301,-3,4,799,-1,0,0,0,0
124,298,1,5,840,2,0,0,0,0
125,301,3,6,887,-1,0,0,0,0
126,301,3,5,919,-1,0,0,0,0
127,302,5,5,946,-2,0,0,0,0
128,302,7,4,965,-2,0,0,0,0
129,302,8,4,975,-2,0,0,0,0
130,302,10,5,983,-2,0,0,0,0
131,298,11,5,991,2,0,0,0,0
132,299,12,5,998,1,0,0,0,0
133,298,13,5,1005,2,0,0,0,0
134,299,13,5,1010,1,0,0,0,0
135,299,13,5,1012,1,0,0,0,0
136,298,13,5,1013,2,0,0,0,0
137,299,14,6,1014,1,0,0,0,0
138,299,14,6,1014,1,0,0,0,0
139,299,14,7,1014,1,0,0,0,0
140,298,13,7,1015,2,0,0,0,0
141,298,12,7,1016,2,0,0,0,0
142,299,12,7,1017,1,0,0,0,0
143,298,12,7,1017,2,0,0,0,0
144,298,13,6,1017,2,0,0,0,0
145,299,13,5,1017,1,0,0,0,0
146,299,13,4,1017,1,0,0,0,0
147,299,13,5,1017,1,0,0,0,0
148,299,13,5,1017,1,0,0,0,0
149,298,13,5,1016,2,0,0,0,0
150,298,14,5,1015,2,0,0,0,0
151,298,14,5,1015,2,0,0,0,0
152,298,14,5,1015,2,0,0,0,0
153,299,14,4,1015,1,0,0,0,0
154,300,15,4,1015,0,0,0,0,0
155,303,15,4,1016,-3,0,0,0,0
156,301,15,4,1017,-1,0,0,0,0
157,301,14,4,1018,-1,0,0,0,0
158,303,14,4,1018,-3,0,0,0,0
159,301,14,5,1018,-1,0,0,0,0
160,302,14,6,1018,-2,0,0,0,0
161,302,13,7,1018,-2,0,0,0,0
162,303,13,6,1019,-3,0,0,0,0
163,302,13,6,1020,-2,0,0,0,0
164,301,13,6,1020,-1,0,0,0,0
165,301,13,6,1020,-1,0,0,0,0
166,302,14,7,1021,-2,0,0,0,0
167,302,14,8,1020,-2,0,0,0,0
168,302,13,9,1019,-2,0,0,0,0
169,301,13,9,1019,-1,0,0,0,0
170,301,13,8,1018,-1,0,0,0,0
171,298,13,7,1019,2,0,0,0,0
172,299,13,8,1020,1,0,0,0,0
173,299,13,9,1020,1,0,0,0,0
174,300,12,9,1019,0,0,0,0,0
175,302,13,9,1018,-2,0,0,0,0
176,301,13,8,1017,-1,0,0,0,0
177,301,13,7,1016,-1,0,0,0,0
178,300,13,7,1016,0,0,0,0,0
179,297,13,7,1017,3,0,0,0,0
180,298,13,7,1017,2,0,0,0,0
181,298,13,7,1017,2,0,0,0,0
182,300,13,7,1017,0,0,0,0,0
183,301,12,7,1017,-1,0,0,0,0
184,301,12,7,1017,-1,0,0,0,0
185,301,12,7,1017,-1,0,0,0,0
186,302,12,6,1016,-2,0,0,0,0
187,301,12,6,1016,-1,0,0,0,0
188,301,12,6,1015,-1,0,0,0,0
189,301,12,7,1015,-1,0,0,0,0
190,299,12,7,1015,1,0,0,0,0
191,297,12,7,1015,3,0,0,0,0
192,297,12,7,1017,3,0,0,0,0
193,297,11,7,1018,3,0,0,0,0
194,300,11,7,1018,0,0,0,0,0
195,300,11,7,1017,0,0,0,0,0
196,301,11,8,1018,-1,0,0,0,0
197,300,11,8,1019,0,0,0,0,0
198,301,11,7,1019,-1,0,0,0,0
199,300,11,7,1019,0,0,0,0,0
200,301,15,7,1019,-1,0,0,0,0
201,300,14,8,1018,0,0,0,0,0
202,301,13,8,1018,-1,0,0,0,0
203,300,13,8,1018,0,0,0,0,0
204,300,12,8,1017,0,0,0,0,0
205,300,12,7,1017,0,0,0,0,0
206,301,12,7,1017,-1,0,0,0,0
207,300,12,7,1017,0,0,0,0,0
208,300,12,7,1017,0,0,0,0,0
209,297,12,7,1017,3,0,0,0,0
210,301,12,6,1017,-1,0,0,0,0
211,300,12,5,1016,0,0,0,0,0
212,301,11,5,1016,-1,0,0,0,0
213,301,11,5,1016,-1,0,0,0,0
214,301,12,5,1016,-1,0,0,0,0
215,300,12,5,1016,0,0,0,0,0
216,301,12,6,1016,-1,0,0,0,0
217,301,12,6,1016,-1,0,0,0,0
218,298,12,6,1017,2,0,0,0,0
219,296,11,6,1018,4,0,0,0,0
220,297,11,6,1018,3,0,0,0,0
221,297,12,6,1019,3,0,0,0,0
222,301,13,6,1019,-1,0,0,0,0
223,300,13,6,1019,0,0,0,0,0
224,300,13,7,1019,0,0,0,0,0
225,300,13,7,1018,0,0,0,0,0
226,301,13,7,1019,-1,0,0,0,0
227,300,13,7,1019,0,0,0,0,0
228,300,13,7,1019,0,0,0,0,0
229,301,13,7,1019,-1,0,0,0,0
230,301,13,7,1019,-1,0,0,0,0
231,300,13,6,1018,0,0,0,0,0
232,301,12,6,1018,-1,0,0,0,0
