Tid | Avstand | X | Y | Z | Error | Power | uP | uI | uD
1 | 296 | 15 | 3 | 1020 | -4 | 65535 | 0 | 0 | 0
2 | 296 | 14 | 3 | 1020 | -4 | 65535 | 0 | 0 | 0
3 | 297 | 14 | 3 | 1020 | -3 | 65535 | 0 | 0 | 0
4 | 296 | 14 | 3 | 1019 | -4 | 65535 | 0 | 0 | 0
5 | 296 | 15 | 2 | 1019 | -4 | 65535 | 0 | 0 | 0
6 | 296 | 15 | 2 | 1020 | -4 | 65535 | 0 | 0 | 0
7 | 296 | 15 | 2 | 1020 | -4 | 65535 | 0 | 0 | 0
8 | 296 | 16 | 2 | 1020 | -4 | 65535 | 0 | 0 | 0
9 | 296 | 17 | 3 | 1020 | -4 | 65535 | 0 | 0 | 0
10 | 296 | 16 | 3 | 1020 | -4 | 65535 | 0 | 0 | 0
11 | 296 | 16 | 3 | 1020 | -4 | 65535 | 0 | 0 | 0
12 | 297 | 16 | 3 | 1019 | -3 | 65535 | 0 | 0 | 0
13 | 296 | 16 | 3 | 1019 | -4 | 65535 | 0 | 0 | 0
14 | 296 | 16 | 2 | 1019 | -4 | 65535 | 0 | 0 | 0
15 | 297 | 15 | 2 | 1019 | -3 | 65535 | 0 | 0 | 0
16 | 297 | 15 | 2 | 1019 | -3 | 65535 | 0 | 0 | 0
17 | 296 | 15 | 2 | 1019 | -4 | 65535 | 0 | 0 | 0
18 | 296 | 15 | 3 | 1019 | -4 | 65535 | 0 | 0 | 0
19 | 297 | 14 | 3 | 1019 | -3 | 65535 | 0 | 0 | 0
20 | 297 | 14 | 2 | 1019 | -3 | 65535 | 0 | 0 | 0
21 | 296 | 13 | 2 | 1019 | -4 | 65535 | 0 | 0 | 0
22 | 296 | 13 | 2 | 1019 | -4 | 65535 | 0 | 0 | 0
23 | 296 | 12 | 2 | 1019 | -4 | 65535 | 0 | 0 | 0
24 | 297 | 12 | 2 | 1018 | -3 | 65535 | 0 | 0 | 0
25 | 296 | 12 | 3 | 1018 | -4 | 65535 | 0 | 0 | 0
26 | 296 | 12 | 4 | 1019 | -4 | 65535 | 0 | 0 | 0
27 | 296 | 12 | 4 | 1019 | -4 | 65535 | 0 | 0 | 0
28 | 296 | 13 | 4 | 1020 | -4 | 65535 | 0 | 0 | 0
29 | 296 | 13 | 4 | 1020 | -4 | 65535 | 0 | 0 | 0
30 | 296 | 14 | 4 | 1021 | -4 | 65535 | 0 | 0 | 0
31 | 296 | 15 | 4 | 1021 | -4 | 65535 | 0 | 0 | 0
32 | 296 | 15 | 4 | 1021 | -4 | 65535 | 0 | 0 | 0
33 | 295 | 15 | 4 | 1021 | -5 | 65535 | 0 | 0 | 0
34 | 295 | 15 | 4 | 1020 | -5 | 65535 | 0 | 0 | 0
35 | 296 | 14 | 4 | 1020 | -4 | 65535 | 0 | 0 | 0
36 | 296 | 14 | 4 | 1021 | -4 | 65535 | 0 | 0 | 0
37 | 295 | 14 | 4 | 1021 | -5 | 65535 | 0 | 0 | 0
38 | 296 | 15 | 3 | 1021 | -4 | 65535 | 0 | 0 | 0
39 | 296 | 14 | 3 | 1021 | -4 | 65535 | 0 | 0 | 0
40 | 296 | 14 | 3 | 1022 | -4 | 65535 | 0 | 0 | 0
41 | 295 | 14 | 4 | 1022 | -5 | 65535 | 0 | 0 | 0
42 | 296 | 15 | 5 | 1021 | -4 | 65535 | 0 | 0 | 0
43 | 296 | 16 | 4 | 1021 | -4 | 65535 | 0 | 0 | 0
44 | 296 | 16 | 3 | 1020 | -4 | 65535 | 0 | 0 | 0
45 | 295 | 16 | 2 | 1019 | -5 | 65535 | 0 | 0 | 0
46 | 296 | 16 | 2 | 1019 | -4 | 65535 | 0 | 0 | 0
47 | 296 | 16 | 2 | 1018 | -4 | 65535 | 0 | 0 | 0
48 | 296 | 16 | 2 | 1018 | -4 | 65535 | 0 | 0 | 0
49 | 299 | 16 | 2 | 1019 | -1 | 65535 | 0 | 0 | 0
50 | 299 | 16 | 2 | 1019 | -1 | 65535 | 0 | 0 | 0
51 | 299 | 16 | 2 | 1019 | -1 | 65535 | 0 | 0 | 0
52 | 299 | 16 | 2 | 1018 | -1 | 65535 | 0 | 0 | 0
53 | 295 | 15 | 3 | 1018 | -5 | 65535 | 0 | 0 | 0
54 | 296 | 15 | 3 | 1019 | -4 | 65535 | 0 | 0 | 0
55 | 296 | 15 | 3 | 1019 | -4 | 65535 | 0 | 0 | 0
